0,0.5748,b'2016-06-26'
1,0.2574,b'2016-12-18'
2,0.4533,b'2016-09-21'
3,0.3813,b'2016-06-04'
4,0.4281,b'2016-04-04'
5,0.5821,b'2016-02-04'
6,0.4889,b'2016-12-12'
7,0.7229,b'2016-07-18'
8,0.9276,b'2016-01-27'
9,0.5019,b'2016-05-01'
10,0.0008,b'2016-10-19'
11,0.4827,b'2016-12-10'
12,0.6694,b'2016-02-14'
13,0.6758,b'2016-09-08'
14,0.6576,b'2016-11-19'
15,0.0352,b'2016-04-15'
16,0.4851,b'2016-03-15'
17,0.1297,b'2016-10-01'
18,0.7399,b'2016-06-18'
19,0.8284,b'2016-10-28'
20,0.8310,b'2016-05-18'
21,0.8042,b'2016-01-04'
22,0.5921,b'2016-07-12'
23,0.7607,b'2016-01-25'
24,0.5948,b'2016-03-23'
25,0.6549,b'2016-12-21'
26,0.4106,b'2016-03-24'
27,0.5037,b'2016-11-18'
28,0.8175,b'2016-09-01'
29,0.1679,b'2016-12-18'
30,0.1045,b'2016-04-27'
31,0.5489,b'2016-08-03'
32,0.6468,b'2016-03-30'
33,0.9131,b'2016-01-21'
34,0.0988,b'2016-03-20'
35,0.3144,b'2016-09-06'
36,0.8370,b'2016-05-06'
37,0.4177,b'2016-02-13'
38,0.2934,b'2016-02-07'
39,0.7470,b'2016-11-09'
40,0.3539,b'2016-12-17'
41,0.1982,b'2016-01-11'
42,0.3946,b'2016-02-25'
43,0.4870,b'2016-02-08'
44,0.6645,b'2016-01-05'
45,0.3092,b'2016-09-16'
46,0.8860,b'2016-07-22'
47,0.6922,b'2016-02-08'
48,0.5059,b'2016-10-28'
49,0.8975,b'2016-12-17'
50,0.9058,b'2016-09-13'
51,0.3966,b'2016-11-01'
52,0.4895,b'2016-05-22'
53,0.2731,b'2016-06-07'
54,0.7078,b'2016-04-26'
55,0.8404,b'2016-06-04'
56,0.5836,b'2016-04-20'
57,0.8602,b'2016-06-21'
58,0.2612,b'2016-01-03'
59,0.7938,b'2016-10-31'
60,0.9182,b'2016-05-27'
61,0.9322,b'2016-01-25'
62,0.6894,b'2016-01-26'
63,0.8333,b'2016-08-08'
64,0.1680,b'2016-02-25'
65,0.6823,b'2016-11-16'
66,0.2726,b'2016-07-04'
67,0.0819,b'2016-10-11'
68,0.9905,b'2016-06-05'
69,0.9059,b'2016-04-07'
70,0.3669,b'2016-04-03'
71,0.6952,b'2016-04-13'
72,0.7364,b'2016-10-22'
73,0.7836,b'2016-01-12'
74,0.7522,b'2016-01-16'
75,0.3336,b'2016-02-03'
76,0.6618,b'2016-01-26'
77,0.6030,b'2016-08-03'
78,0.9004,b'2016-04-01'
79,0.5454,b'2016-06-05'
80,0.8670,b'2016-09-25'
81,0.5477,b'2016-11-18'
82,0.3477,b'2016-07-30'
83,0.2305,b'2016-02-14'
84,0.8374,b'2016-03-22'
85,0.8751,b'2016-12-11'
86,0.3644,b'2016-10-26'
87,0.9125,b'2016-06-20'
88,0.8976,b'2016-09-30'
89,0.8577,b'2016-08-11'
90,0.1743,b'2016-04-16'
91,0.4951,b'2016-12-24'
92,0.2768,b'2016-08-23'
